iter	Passed	Remaining
570	16564	3974
571	16566	3938
572	16646	3922
573	16727	3905
574	16730	3869
575	16734	3834
576	16814	3817
577	16852	3790
578	16854	3755
579	16856	3720
580	16935	3702
581	16937	3666
582	16940	3632
583	16941	3597
584	16977	3569
585	16979	3535
586	16981	3500
587	16991	3467
588	17027	3440
589	17029	3405
590	17108	3386
591	17127	3355
592	17136	3323
593	17154	3292
594	17172	3261
595	17181	3228
596	17261	3209
597	17264	3175
598	17266	3141
599	17272	3109
600	17349	3088
601	17352	3055
602	17432	3035
603	17435	3002
604	17440	2969
605	17441	2935
606	17479	2908
607	17518	2881
608	17520	2848
609	17523	2815
610	17602	2794
611	17683	2773
612	17693	2742
613	17696	2709
614	17706	2677
615	17744	2650
616	17746	2617
617	17748	2584
618	17754	2552
619	17791	2525
620	17890	2506
621	17907	2475
622	17917	2444
623	18015	2425
624	18037	2395
625	18039	2362
626	18081	2335
627	18083	2303
628	18085	2271
629	18176	2250
630	18179	2218
631	18184	2186
632	18186	2154
633	18203	2124
634	18277	2101
635	18356	2078
636	18357	2046
637	18433	2022
638	18437	1990
639	18439	1959
640	18514	1935
641	18591	1911
642	18593	1879
643	18675	1855
644	18681	1824
645	18717	1796
646	18752	1768
647	18754	1736
648	18757	1705
649	18766	1674
650	18798	1645
651	18871	1620
652	18948	1596
653	18951	1564
654	18953	1533
655	19034	1508
656	19112	1483
657	19115	1452
658	19121	1421
659	19123	1390
660	19126	1359
661	19207	1334
662	19210	1303
663	19229	1274
664	19308	1248
665	19314	1218
666	19316	1187
667	19318	1156
668	19335	1127
669	19338	1096
670	19343	1066
671	19345	1036
672	19426	1010
673	19443	980
674	19452	951
675	19527	924
676	19536	894
677	19538	864
678	19540	834
679	19543	804
680	19559	775
681	19563	745
682	19565	716
683	19567	686
684	19569	657
685	19637	629
686	19640	600
687	19715	573
688	19717	543
689	19793	516
690	19798	487
691	19800	457
692	19808	428
693	19811	399
694	19812	370
695	19880	342
696	19882	313
697	19956	285
698	20033	257
699	20037	228
700	20046	200
701	20124	172
702	20127	143
703	20145	114
704	20150	85
705	20225	57
706	20227	28
707	20244	0
